Departamento;poblacion 2023;poblacion 2018;Contribucion 2023;Contribucion 2018;Variacion %;Variaciom Prom;Variacion Abs
Bogotá;7 968 792;7 412 566;15.14%;15.36%;+6.67%;+1.3%;494 715
Antioquia;7 088 795;6 407 102;13.12%;13.28%;+6.89%;+1.34%;441 258
Valle del Cauca;4 638 029;4 475 886;8.88%;9.27%;+3.62%;+0.71%;162 143
Cundinamarca;3 445 327;2 919 060;6.6%;6.05%;+18.03%;+3.37%;526 267
Atlántico;2 803 565;2 535 517;5.37%;5.25%;+10.57%;+2.03%;268 048
Santander;2 357 127;2 184 837;4.51%;4.53%;+7.89%;+1.53%;172 290
Bolívar;2 247 283;2 070 110;4.3%;4.29%;+8.56%;+1.66%;177 173
Córdoba;1 898 911;1 784 783;3.64%;3.7%;+6.39%;+1.25%;114 128
Nariño;1 699 570;1 630 592;3.25%;3.38%;+4.23%;+0.83%;68 978
Norte de Santander;1 696 740;1 491 689;3.25%;3.09%;+13.75%;+2.61%;205 051
Cauca;1 558 045;1 464 488;2.98%;3.03%;+6.39%;+1.25%;93 557
Magdalena;1 496 163;1 341 746;2.87%;2.78%;+11.51%;+2.2%;154 417
Tolima;1 374 384;1 330 187;2.63%;2.76%;+3.32%;+0.66%;44 197
Cesar;1 373 581;1 200 574;2.63%;2.49%;+14.41%;+2.73%;173 007
Boyacá;1 298 800;1 217 376;2.49%;2.52%;+6.69%;+1.3%;81 424
Huila;1 178 453;1 100 386;2.26%;2.28%;+7.09%;+1.38%;78 067
Meta;1 130 085;1 039 722;2.16%;2.15%;+8.69%;+1.68%;90 363
Caldas;1 040 284;998 255;1.99%;2.07%;+4.21%;+0.83%;42 029
La Guajira;1 038 397;880 560;1.99%;1.82%;+17.92%;+3.35%;157 837
Sucre;994 060;904 863;1.9%;1.88%;+9.86%;+1.9%;89 197
Risaralda;972 304;943 401;1.86%;1.95%;+3.06%;+0.61%;28 903
Chocó;595 138;534 826;1.14%;1.11%;+11.28%;+2.16%;60 312
Quindío;563 076;539 904;1.08%;1.12%;+4.29%;+0.84%;23 172
Casanare;467 775;420 504;0.9%;0.87%;+11.24%;+2.15%;47 271
Caquetá;425 053;401 849;0.81%;0.83%;+5.77%;+1.13%;23 204
Putumayo;383 042;348 182;0.73%;0.72%;+10.01%;+1.93%;34 860
Arauca;313 097;262 174;0.6%;0.54%;+19.42%;+3.61%;50 923
Vichada;123 304;107 808;0.24%;0.22%;+14.37%;+2.72%;15 496
Guaviare;97 616;82 767;0.19%;0.17%;+17.94%;+3.36%;14 849
Amazonas;85 056;76 589;0.16%;0.16%;+11.06%;+2.12%;8467
San Andrés y Providencia;62 269;61 280;0.12%;0.13%;+1.61%;+0.32%;989
Guainía;56 551;48 114;0.11%;0.1%;+17.54%;+3.28%;8437
Vaupés;46 777;40 797;0.09%;0.08%;+14.66%;+2.77%;5980
